#Game Name,Date,Time (EST),Team1Name,Team1Id,Team2Name,Team2Id
Gildan New Mexico Bowl,20131221,1400,Colorado State,1156,Washington State,1754
Royal Purple Las Vegas Bowl,20131221,1530,USC,1657,Fresno State,1096
Famous Idaho Potato Bowl,20131221,1730,San Diego State,1626,Buffalo,1086
R+L Carriers New Orleans Bowl,20131221,2100,Louisana-Lafayette,1671,Tulane,1718
Beef 'O' Brady's St. Petersburg Bowl,20131223,1400,Ohio,1519,East Carolina,1196
Sheraton Hawaii Bowl,20131224,2000,Oregon State,1528,Boise State,1066
Little Caesar's Bowl,20131226,1800,Bowling Green,1071,Pittsburgh,1545
San Diego Country Credit Union Poinettia Bowl,20131226,2130,Northern Illinois,1503,Utah State,1731
Military Bowl Presented by Northrop Grumman,20131227,1430,Maryland,1392,Marshall,1388
Texas Bowl,20131227,1800,Minnesota,1428,Syracuse,1688
Fight Hunger Bowl,20131227,2130,Washington,1756,BYU,1077
New Era Pinstripe Bowl,20131228,1200,Notre Dame,1513,Rutgers,1587
Belk Bowl,20131228,1520,North Carolina,1457,Cincinnati,1140
Russell Athletic Bowl,20131228,1845,Louisville,1367,Miami-Florida,1415
Buffalo Wild Wings Bowl,20131228,2215,Kansas State,1327,Michigan,1418
Bell Helicopter Armed Forces Bowl,20131230,1145,Navy,1726,Middle Tennessee State,1419
Franklin American Mortgage Music City Bowl,20131230,1515,Georgia Tech,1255,Mississippi,1433
Valero Alamo Bowl,20131230,1845,Texas,1703,Oregon,1529
National University Holiday Bowl,20131230,2215,Texas Tech,1700,Arizona State,1028
AdvoCare V100 Independence Bowl,20131231,1230,Boston College,1067,Arizona,1029
Hyundai Sun Bowl,20131231,1400,UCLA,1110,Virginia Tech,1742
AutoZone Liberty Bowl,20131231,1600,Mississippi State,1430,Rice,1574
Chick-fil-A Peach Bowl,20131231,2000,Texas A&M,1697,Duke,1193
Taxslayer.com Gator Bowl,20140101,1200,Georgia,1257,Nebraska,1463
Heart of Dallas Bowl,20140101,1200,North Texas,1497,UNLV,1465
Capital One Bowl,20140101,1300,South Carolina,1648,Wisconsin,1796
Outback Bowl,20140101,1300,LSU,1365,Iowa,1312
Rose Bowl Game presented by Visio,20140101,1700,Michigan State,1416,Stanford,1674
Tostitos Fiesta Bowl,20140101,2030,Baylor,1051,Central Florida,1128
Allstate Sugar Bowl,20140102,2030,Alabama,1008,Oklahoma,1522
AT&T Cotton Bowl Classic,20140103,1930,Missouri,1434,Oklahoma State,1521
Discover Orange Bowl,20140103,2030,Ohio State,1518,Clemson,1147
BBVA Compass Bowl,20140104,1300,Houston,1288,Vanderbilt,1736
GoDaddy.com Bowl,20140105,2100,Ball State,1047,Arkansas State,1030
Discover BCS National Championship Game,20140106,2030,Auburn,1037,Florida State,1234
