2018,Playoff,1008
2018,Playoff,1147
2018,Playoff,1513
2018,Playoff,1522
2016,Playoff,1008
2016,Playoff,1147
2016,Playoff,1756
2016,Playoff,1518
2017,Playoff,1008
2017,Playoff,1147
2017,Playoff,1522
2017,Playoff,1257
2015,Playoff,1008
2015,Playoff,1147
2015,Playoff,1522
2015,Playoff,1416
2014,Playoff,1008
2014,Playoff,1518
2014,Playoff,1234
2014,Playoff,1529
2014,Champ-ACC,1234
2015,Champ-ACC,1147
2016,Champ-ACC,1147
2017,Champ-ACC,1147
2018,Champ-ACC,1147
2015,Champ-American_Athletic,1288
2016,Champ-American_Athletic,1690
2017,Champ-American_Athletic,1128
2018,Champ-American_Athletic,1128
2014,Champ-Big_Ten,1518
2015,Champ-Big_Ten,1416
2016,Champ-Big_Ten,1539
2017,Champ-Big_Ten,1518
2018,Champ-Big_Ten,1518
2015,Champ-Big_XII,1522
2016,Champ-Big_XII,1522
2017,Champ-Big_XII,1522
2018,Champ-Big_XII,1522
2014,Champ-Conference-USA,1388
2015,Champ-Conference-USA,1772
2016,Champ-Conference-USA,1772
2017,Champ-Conference-USA,1229
2018,Champ-Conference-USA,1009
2014,Champ-Mid-American,1503
2015,Champ-Mid-American,1071
2016,Champ-Mid-American,1774
2017,Champ-Mid-American,Toledo
2018,Champ-Mid-American,1503
2014,Champ-Mountain_West,1066
2015,Champ-Mountain_West,1626
2016,Champ-Mountain_West,1626
2017,Champ-Mountain_West,1066
2018,Champ-Mountain_West,1096
2014,Champ-Pac-12,1529
2015,Champ-Pac-12,1674
2016,Champ-Pac-12,1756
2017,Champ-Pac-12,1657
2018,Champ-Pac-12,1756
2014,Champ-SEC,1008
2015,Champ-SEC,1008
2016,Champ-SEC,1008
2017,Champ-SEC,1257
2018,Champ-SEC,1008
2018,Champ-Sun_Belt,1027
